"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","h2","",""
"ALPN","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","1000jours-blues.fabrique.social.gouv.fr/57.128.91.43","443","OK","offered","",""
