"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"cert_compression","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","N/A","",""
"clientAuth","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","04F36F4CC9268BB33C1D9CDA247A2B099FD4","",""
"cert_serialNumberLen","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","18","",""
"cert_fingerprintSHA1","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","294965A64D943B0CB315237ADBA5ED3167B809F7","",""
"cert_fingerprintSHA256","1000jours.fabrique.social.gouv.fr/20.74.14.77","443","INFO","2F0F3488168FBFCB6683BCE945BF6121D4B273BFEB54D867807717DA2D7D0D6C","",""
