"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","transitions-collectives.fabrique.social.gouv.fr/","443","WARN","No engine or GOST support via engine with your /home/testssl/bin/openssl.Linux.x86_64","",""
"service","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered with final","",""
"ALPN_HTTP2","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","transitions-collectives.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
