"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","HTTP","",""
"pre_128cipher","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","No 128 cipher limit bug","",""
"SSLv2","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","",""
"SSLv3","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","",""
"TLS1","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","",""
"TLS1_1","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","",""
"TLS1_2","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"TLS1_3","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered with final","",""
"ALPN_HTTP2","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","h2","",""
"ALPN","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","http/1.1","",""
"cipherlist_NULL","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_LOW","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not offered","",""
"cipherlist_STRONG_FS","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"cipher_order-tls1_2","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","server","",""
"cipherorder_TLSv1_2","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","server -- TLS 1.3 client determined","",""
"FS","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","offered","",""
"FS_ciphers","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","prime256v1","",""
"TLS_extensions","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","yes","",""
"sessionresumption_ticket","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not supported","",""
"sessionresumption_ID","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","not supported","",""
"TLS_timestamp","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","random","",""
"certificate_compression","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","none","",""
"clientAuth","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","none","",""
"cert_numbers","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","1","",""
"cert_signatureAlgorithm","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","ECDSA with SHA384","",""
"cert_keySize","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","Digital Signature","",""
"cert_extKeyUsage","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","0459E1EE216BF4154EA44497DF5EBB014D33","",""
"cert_serialNumberLen","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","18","",""
"cert_fingerprintSHA1","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","FF5EE90C55678DC2ED55FC994C327CC7486C0FC5","",""
"cert_fingerprintSHA256","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","1362F5359FAA0CD21AA42697552458073F3528EE5B33FB405F48A1DE8C367E3C","",""
"cert","archifiltre.fabrique.social.gouv.fr/154.41.70.5","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDtjCCAz2gAwIBAgISBFnh7iFr9BVOpESX3167AU0zMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNTAeFw0yNTAxMTUwOTAwNDZaFw0yNTA0MTUwOTAwNDVaMC4xLDAqBgNVBAMTI2FyY2hpZmlsdHJlLmZhYnJpcXVlLnNvY2lhbC5nb3V2LmZyMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEoGd2wRFltNyAlxcnjqlzB+YjiqYexL82DLhQjTK8qs9ISEW0I0Ca/huoH11Xe85Sxqk7kaNFAKA2ql9lFUN0+KOCAjUwggIxMA4GA1UdDwEB/wQEAwIHgDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUiQ637jXgqSIZLrmSfplOIudROsUwHwYDVR0jBBgwFoAUnytfzzwhT50Et+0rLMTGcIvS1w0wVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vZTUuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lNS5pLmxlbmNyLm9yZy8wPgYDVR0RBDcwNYIjYXJjaGlmaWx0cmUuZmFicmlxdWUuc29jaWFsLmdvdXYuZnKCDmFyY2hpZmlsdHJlLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYAouMK5EXvva2bfjjtR2d3U9eCW4SU1yteGyzEuVCkR+cAAAGUaWcreQAABAMARzBFAiByF4zoEFOALLaKsZUrB8pCR/7l1rz+SftsZ2e1G6x1ygIhAPB7u9cylp9+xJSGt1sfhGKYV8GBEZ5DXFK9rOZ15zs8AHYAE0rfGrWYQgl4DG/vTHqRpBa3I0nOWFdq367ap8Kr4CIAAAGUaWcsqQAABAMARzBFAiEAk7SCdLxPu/ijxNk7N9E5TNX1Q7DWvtLCZDUHbLkQh98CIEtkBYtlMnzo3bElf3GRJ5rAiHpt80F4SH3QtK0cC/+DMAoGCCqGSM49BAMDA2cAMGQCMCoVI4sVE5YWws8khtdgrJ6A0WN4Bw3xfQKzn373stG7zCvfMSHTfrToiAfDp3K0NAIwQb/QBbpOgyWiad6sMQ28dqvEvlcQcAdr7D1L76IE4NAgmNimeaEGzUKn2omDHDWP\n-----END CERTIFICATE-----","",""
