"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","code.travail.gouv.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","code.travail.gouv.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","code.travail.gouv.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","code.travail.gouv.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","code.travail.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","code.travail.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","code.travail.gouv.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","code.travail.gouv.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","code.travail.gouv.fr/57.128.91.43","443","OK","h2","",""
"ALPN","code.travail.gouv.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","code.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","code.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","code.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","code.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","code.travail.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","code.travail.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","code.travail.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","code.travail.gouv.fr/57.128.91.43","443","OK","offered","",""
"cipher_order-tls1_2","code.travail.gouv.fr/57.128.91.43","443","OK","server","",""
"cipherorder_TLSv1_2","code.travail.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","code.travail.gouv.fr/57.128.91.43","443","OK","server","",""
"FS","code.travail.gouv.fr/57.128.91.43","443","OK","offered","",""
"FS_ciphers","code.travail.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","code.travail.gouv.fr/57.128.91.43","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","code.travail.gouv.fr/57.128.91.43","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","code.travail.gouv.fr/57.128.91.43","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","code.travail.gouv.fr/57.128.91.43","443","INFO","yes","",""
"sessionresumption_ticket","code.travail.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"sessionresumption_ID","code.travail.gouv.fr/57.128.91.43","443","INFO","supported","",""
"TLS_timestamp","code.travail.gouv.fr/57.128.91.43","443","INFO","random","",""
"certificate_compression","code.travail.gouv.fr/57.128.91.43","443","INFO","none","",""
"clientAuth","code.travail.gouv.fr/57.128.91.43","443","INFO","none","",""
"cert_numbers","code.travail.gouv.fr/57.128.91.43","443","INFO","1","",""
"cert_signatureAlgorithm","code.travail.gouv.fr/57.128.91.43","443","OK","SHA256 with RSA","",""
"cert_keySize","code.travail.gouv.fr/57.128.91.43","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","code.travail.gouv.fr/57.128.91.43","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","code.travail.gouv.fr/57.128.91.43","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","code.travail.gouv.fr/57.128.91.43","443","INFO","04F66D4EF512436077745337673296E6D0CA","",""
"cert_serialNumberLen","code.travail.gouv.fr/57.128.91.43","443","INFO","18","",""
"cert_fingerprintSHA1","code.travail.gouv.fr/57.128.91.43","443","INFO","258A9B68E4EF36A2403BF0AFAA7C4DE3633F1D80","",""
"cert_fingerprintSHA256","code.travail.gouv.fr/57.128.91.43","443","INFO","CC6197C945F04D2E614345B907476E25F492E5A385B39893ECDAC8A4E569D80E","",""
"cert","code.travail.gouv.fr/57.128.91.43","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE9zCCA9+gAwIBAgISBPZtTvUSQ2B3dFM3ZzKW5tDKMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwMTE5MTUyODA0WhcNMjUwNDE5MTUyODAzWjAfMR0wGwYDVQQDExRjb2RlLnRyYXZhaWwuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMWpzFOCPu3Czf3P9X9XO3Z3GDbtREuHNcAzn/ZOQcgnOBehuRdycONVzW7FwKd4WDtqIqbpC6ANi4NB2Oj+r5tRtTiXXXOKi8iqi3vxZR+n8w3/m2xQXl4NBtxeAZ7aQ3f5sYThz5YlyXFlIttjahHrnples6K7hOwerz1xztd9/W1itEogPOSnG06ARR4rwHlJYzWSlKqTv7dGKcZP+lQasiwdJsKiOpJDD9mxJeaBgBMW3j7LFGxoZFY9YxiVSQt6lfbwh1MDJBlOP+eXZMGG9bRfKyCJYlQ9o0Oss6FLXYMBuyvpsuqyN6qCBcGOyFhnVra8DFH9oHl0pTiUMj8CAwEAAaOCAhcwggITMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUZNuAJZ5fITu+kqaq3ESL/kDX6g8wHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwVwYIKwYBBQUHAQEESzBJMCIGCCsGAQUFBzABhhZodHRwOi8vcjEwLm8ubGVuY3Iub3JnMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzAfBgNVHREEGDAWghRjb2RlLnRyYXZhaWwuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB2AMz7D2qFcQll/pWbU87psnwi6YVcDZeNtql+VMD+TA2wAAABlH9jMlgAAAQDAEcwRQIgKTO/+gvkZQWesVVB8pPipIO1x3pRY1OF0behRduLaYACIQCfsP1rDGVVYVBKcM6hl2lPVhTS014/YrmdTRchzrDqYQB1ABNK3xq1mEIJeAxv70x6kaQWtyNJzlhXat+u2qfCq+AiAAABlH9jMxAAAAQDAEYwRAIgL6lbobNzQSEjFmpzKOwLAefFqctPEjgiadYum5alZ1kCIHkMnMtLmdMCr5GzKy0aPf7GUCntWS+kYKczYt513X+oMA0GCSqGSIb3DQEBCwUAA4IBAQC56OV/U+ZFIfvGSA+I1Ijynhr7oxUi6es0hjkc7j57fHlreK4wMLX0j7WLzUd3Iv7p6VMxOp1pwQDcwnzqxqp9EUyaIvK2kLbGDHlo2Dm/ICFHn86DpPTJ6GPXacpHT5GepDmKNJFR/Qmuk5bPKtdERZanmjfgBufyBtXdIcW6pIbO8VjmftzVdgw42bzpa3rk5NY3Uo34EJ4iyI5KygnfUDSbSF+nXae6Y5yYOTd83cKgnVXd7Mdij/rMFSOLaGhFT0LFPCtGywKtmaEM7x/Q/9pElnHaTs8YrAqQWdIqq1YTshbeKO7GKL229vrU1ZvLBiV1zyFLgDUYGO0BcpAi\n-----END CERTIFICATE-----","",""
"cert_commonName","code.travail.gouv.fr/57.128.91.43","443","OK","code.travail.gouv.fr","",""
"cert_commonName_wo_SNI","code.travail.gouv.fr/57.128.91.43","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","code.travail.gouv.fr/57.128.91.43","443","INFO","code.travail.gouv.fr","",""
"cert_trust","code.travail.gouv.fr/57.128.91.43","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","code.travail.gouv.fr/57.128.91.43","443","OK","passed.","",""
"cert_certificatePolicies_EV","code.travail.gouv.fr/57.128.91.43","443","INFO","no","",""
"cert_expirationStatus","code.travail.gouv.fr/57.128.91.43","443","OK","72 >= 30 days","",""
"cert_notBefore","code.travail.gouv.fr/57.128.91.43","443","INFO","2025-01-19 15:28","",""
"cert_notAfter","code.travail.gouv.fr/57.128.91.43","443","OK","2025-04-19 15:28","",""
"cert_extlifeSpan","code.travail.gouv.fr/57.128.91.43","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","code.travail.gouv.fr/57.128.91.43","443","INFO","not present","",""
"cert_crlDistributionPoints","code.travail.gouv.fr/57.128.91.43","443","INFO","--","",""
"cert_ocspURL","code.travail.gouv.fr/57.128.91.43","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","code.travail.gouv.fr/57.128.91.43","443","LOW","not offered","",""
"cert_mustStapleExtension","code.travail.gouv.fr/57.128.91.43","443","INFO","--","",""
"DNS_CAArecord","code.travail.gouv.fr/57.128.91.43","443","LOW","--","",""
"certificate_transparency","code.travail.gouv.fr/57.128.91.43","443","OK","yes (certificate extension)","",""
"certs_countServer","code.travail.gouv.fr/57.128.91.43","443","INFO","2","",""
"certs_list_ordering_problem","code.travail.gouv.fr/57.128.91.43","443","INFO","no","",""
"cert_caIssuers","code.travail.gouv.fr/57.128.91.43","443","INFO","R10 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","code.travail.gouv.fr/57.128.91.43","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBTCCAu2gAwIBAgIQS6hSk/eaL6JzBkuoBI110DANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDPV+XmxFQS7bRH/sknWHZGUCiMHT6I3wWd1bUYKb3dtVq/+vbOo76vACFLYlpaPAEvxVgD9on/jhFD68G14BQHlo9vH9fnuoE5CXVlt8KvGFs3Jijno/QHK20a/6tYvJWuQP/py1fEtVt/eA0YYbwX51TGu0mRzW4Y0YCF7qZlNrx06rxQTOr8IfM4FpOUurDTazgGzRYSespSdcitdrLCnF2YRVxvYXvGLe48E1KGAdlX5jgc3421H5KRmudKHMxFqHJV8LDmowfs/acbZp4/SItxhHFYyTr6717yW0QrPHTnj7JHwQdqzZq3DZb3EoEmUVQK7GH29/Xi8orIlQ2NAgMBAAGjgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBS7vMNHpeS8qcbDpHIMEI2iNeHI6DAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAkrHnQTfreZ2B5s3iJeE6IOmQRJWjgVzPw139vaBw1bGWKCIL0vIozwzn1OZDjCQiHcFCktEJr59L9MhwTyAWsVrdAfYf+B9haxQnsHKNY67u4s5Lzzfdu6PUzeetUK29v+PsPmI2cJkxp+iN3epi4hKu9ZzUPSwMqtCceb7qPVxEbpYxY1p91n5PJKBLBX9eb9LU6l8zSxPWV7bK3lG4XaMJgnT9x3ies7msFtpKK5bDtotij/l0GaKeA97pb5uwD9KgWvaFXMIEt8jVTjLEvwRdvCn294GPDF08U8lAkIv7tghluaQh1QnlE4SEN4LOECj8dsIGJXpGUk3aU3KkJz9icKy+aUgA+2cP21uh6NcDIS3XyfaZQjmDQ993ChII8SXWupQZVBiIpcWO4RqZk3lr7Bz5MUCwzDIA359e57SSq5CCkY0N4B6Vulk7LktfwrdGNVI5BsC9qqxSwSKgRJeZ9wygIaehbHFHFhcBaMDKpiZlBHyzrsnnlFXCb5s8HKn5LsUgGvB24L7sGNZP2CX7dhHov+YhD+jozLW2p9W4959Bz2EiRmqDtmiXLnzqTpXbI+suyCsohKRg6Un0RC47+cpiVwHiXZAW+cn8eiNIjqbVgXLxKPpdzvvtTnOPlC7SQZSYmdunr3Bf9b77AiC/ZidstK36dRILKz7OA54=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","code.travail.gouv.fr/57.128.91.43","443","INFO","9D7C3F1AA6AD2B2EC0D5CF1E246F8D9AE6CBC9FD0755AD37BB974B1F2FB603F3","",""
"intermediate_cert_notBefore <#1>","code.travail.gouv.fr/57.128.91.43","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","code.travail.gouv.fr/57.128.91.43","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","code.travail.gouv.fr/57.128.91.43","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","code.travail.gouv.fr/57.128.91.43","443","INFO","R10 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","code.travail.gouv.fr/57.128.91.43","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","code.travail.gouv.fr/57.128.91.43","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","code.travail.gouv.fr/57.128.91.43","443","INFO","-1 seconds from localtime","",""
"HTTP_headerTime","code.travail.gouv.fr/57.128.91.43","443","INFO","1738850660","",""
"HSTS_time","code.travail.gouv.fr/57.128.91.43","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","code.travail.gouv.fr/57.128.91.43","443","OK","includes subdomains","",""
"HSTS_preload","code.travail.gouv.fr/57.128.91.43","443","INFO","domain is NOT marked for preloading","",""
"HPKP","code.travail.gouv.fr/57.128.91.43","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","code.travail.gouv.fr/57.128.91.43","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","code.travail.gouv.fr/57.128.91.43","443","INFO","No application banner found","",""
"cookie_count","code.travail.gouv.fr/57.128.91.43","443","INFO","0 at '/'","",""
"X-Frame-Options","code.travail.gouv.fr/57.128.91.43","443","OK","DENY","",""
"X-Content-Type-Options","code.travail.gouv.fr/57.128.91.43","443","OK","nosniff","",""
"Content-Security-Policy","code.travail.gouv.fr/57.128.91.43","443","OK","img-src 'self' https://travail-emploi.gouv.fr https://www.service-public.fr https://cdtn-prod-public.s3.gra.io.cloud.ovh.net https://matomo.fabrique.social.gouv.fr data:; script-src 'self' 'nonce-YmZiMWUwZWQtMTkyMi00ODY4LTk1NWUtZDUwZTMzZTBiMmUx' https://mon-entreprise.urssaf.fr https://matomo.fabrique.social.gouv.fr ; frame-src 'self' https://mon-entreprise.urssaf.fr https://matomo.fabrique.social.gouv.fr *.dailymotion.com; connect-src 'self' https://geo.api.gouv.fr https://sentry.fabrique.social.gouv.fr https://matomo.fabrique.social.gouv.fr; worker-src 'self' blob:;","",""
"banner_reverseproxy","code.travail.gouv.fr/57.128.91.43","443","INFO","--","","CWE-200"
"heartbleed","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","code.travail.gouv.fr/57.128.91.43","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","code.travail.gouv.fr/57.128.91.43","443","OK","supported","","CWE-310"
"secure_client_renego","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","code.travail.gouv.fr/57.128.91.43","443","MEDIUM","potentially VULNERABLE, gzip deflate HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","code.travail.gouv.fr/57.128.91.43","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","code.travail.gouv.fr/57.128.91.43","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=CC6197C945F04D2E614345B907476E25F492E5A385B39893ECDAC8A4E569D80E","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","code.travail.gouv.fr/57.128.91.43","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","code.travail.gouv.fr/57.128.91.43","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","code.travail.gouv.fr/57.128.91.43","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
