"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","supported","",""
"sessionresumption_ID","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"clientAuth","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","039218ECC372F404878F4BDADD4B9A856DC3","",""
"cert_fingerprintSHA1","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","DCB9AEEA0483811DEB220454C1F1FBE3DE2EAF96","",""
"cert_fingerprintSHA256","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","FB854C19882AA03A95A27EB306C0E8AC240DEDF006EC4996C1E53A343611B8A3","",""
"cert","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","-----BEGIN CERTIFICATE----- MIIFQjCCBCqgAwIBAgISA5IY7MNy9ASHj0va3UuahW3DMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTA0MTYwMzA5NTJaFw0yMTA3MTUwMzA5NTJaMCkxJzAlBgNVBAMT HmRvbWlmYS5mYWJyaXF1ZS5zb2NpYWwuZ291di5mcjCCASIwDQYJKoZIhvcNAQEB BQADggEPADCCAQoCggEBALlJ+GYkjC5WbvhgJA6YYhDaVa6SsBgFNnD1RUEjAaXK ZUSGHXKS88ZFJP7BXyu4h0qltxRbxp82QbBC4OXMXLlL0/LPZEW2OW/IrRU8O6AG e9KaCgJ5fP6QQqN71OG/Vp3yn64LAvm8gX0F6GpptsOKGfcsQl5nCOIalg5zVZXO UShch79OrHefo00BViHsA1y5pIGvmRLlFJGPIgufUPT/GVla1QPQ+a77v/Rw1zod tF29lzkJrR28yESrqIHf+3HjNc4lHpcbt1baHWoYc9l6B8pSX5/K6RVVYufU0N7S Lrhfz23vC80NP+6QpjZvYfRNpdQyk3oFPXah/pbwxF8CAwEAAaOCAlkwggJVMA4G A1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYD VR0TAQH/BAIwADAdBgNVHQ4EFgQUFQTaVfAXSwaslA1ghWjA8RLn45kwHwYDVR0j BBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsG AQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6 Ly9yMy5pLmxlbmNyLm9yZy8wKQYDVR0RBCIwIIIeZG9taWZhLmZhYnJpcXVlLnNv Y2lhbC5nb3V2LmZyMEwGA1UdIARFMEMwCAYGZ4EMAQIBMDcGCysGAQQBgt8TAQEB MCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0c2VuY3J5cHQub3JnMIIBBAYK KwYBBAHWeQIEAgSB9QSB8gDwAHYAXNxDkv7mq0VEsV6a1FbmEDf71fpH3KFzlLJe 5vbHDsoAAAF42N7w3gAABAMARzBFAiA8GsX+Ue7LYM1Gr2VjYkZIPfKnASF8WSz8 0xnriA6zkgIhALsWc/Jvp4GpGhKgZO5aLoZtOA7Os8WbiC0nmNHanhruAHYAfT7y +I//iFVoJMLAyp5SiXkrxQ54CX8uapdomX4i8NcAAAF42N7xHgAABAMARzBFAiAK AovHk0nreF6ImcweQmi++Wxmeqi8tMFq02+5PaWUnQIhAIoJrpZLQSmT+lrvRG4A odl3SKysZGSgrQeH+DGow299MA0GCSqGSIb3DQEBCwUAA4IBAQA8612y1Gg9MlbK 49oivB7RFvu9YVMtljYemnuPv1tl/syrcOVh2ooN2JEdqb1+qsWNp7jWNea1cQf6 bq6rOkBryhFbhf6AyEKcvuz+KaYrq+kTQEQREi2zo6DIVIsd6hS/75AJ1nAsXg78 U0elvFZxAE3yy1mucXch0X+wtIBUBO8QMx0xU+yXv0Tl42cI+RKZU9ThI1QH1tDT TKF/Zp9J8qHp2iUt0lK/O0oNxf7QPHvIh/RDIL5qdChyGnf1BhLDh7SfhwMSIS6p H8h/6zDaOl2XaKsDd8Kzj2+Aa3huZO+R4Tg3y2DWBEqhK1eYtaU0AF9jPlD56S2u dzJogu/N -----END CERTIFICATE-----","",""
"cert_commonName","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","domifa.fabrique.social.gouv.fr","",""
"cert_commonName_wo_SNI","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","domifa.fabrique.social.gouv.fr","",""
"cert_trust","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","passed.","",""
"cert_certificatePolicies_EV","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","no","",""
"cert_expirationStatus","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","57 >= 30 days","",""
"cert_notBefore","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","2021-04-16 03:09","",""
"cert_notAfter","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","2021-07-15 03:09","",""
"cert_extlifeSpan","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not present","",""
"cert_crlDistributionPoints","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","--","",""
"cert_ocspURL","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","domifa.fabrique.social.gouv.fr/20.74.14.77","443","LOW","not offered","",""
"cert_mustStapleExtension","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","--","",""
"DNS_CAArecord","domifa.fabrique.social.gouv.fr/20.74.14.77","443","LOW","--","",""
"certificate_transparency","domifa.fabrique.social.gouv.fr/20.74.14.77","443","OK","yes (certificate extension)","",""
"certs_countServer","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","2","",""
"certs_list_ordering_problem","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","no","",""
"cert_caIssuers","domifa.fabrique.social.gouv.fr/20.74.14.77","443","INFO","R3 (Let's Encrypt from US)","",""
