"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","egapro.travail.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","egapro.travail.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","egapro.travail.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","egapro.travail.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","egapro.travail.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","egapro.travail.gouv.fr/20.74.14.77","443","OK","offered with final","",""
"ALPN_HTTP2","egapro.travail.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","egapro.travail.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","egapro.travail.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","egapro.travail.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","egapro.travail.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","egapro.travail.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG_FS","egapro.travail.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order-tls1_2","egapro.travail.gouv.fr/20.74.14.77","443","OK","server","",""
"cipherorder_TLSv1_2","egapro.travail.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","egapro.travail.gouv.fr/20.74.14.77","443","OK","server","",""
"FS","egapro.travail.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","egapro.travail.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","egapro.travail.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","egapro.travail.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","egapro.travail.gouv.fr/20.74.14.77","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","egapro.travail.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","egapro.travail.gouv.fr/20.74.14.77","443","INFO","random","",""
"certificate_compression","egapro.travail.gouv.fr/20.74.14.77","443","INFO","none","",""
"clientAuth","egapro.travail.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","egapro.travail.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","egapro.travail.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","egapro.travail.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","egapro.travail.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","egapro.travail.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","egapro.travail.gouv.fr/20.74.14.77","443","INFO","0370A28C4957EA58138306D818CF5AE8A043","",""
"cert_serialNumberLen","egapro.travail.gouv.fr/20.74.14.77","443","INFO","18","",""
"cert_fingerprintSHA1","egapro.travail.gouv.fr/20.74.14.77","443","INFO","D9CB17591F87BE4F2829AB93336191AD657ECD8C","",""
"cert_fingerprintSHA256","egapro.travail.gouv.fr/20.74.14.77","443","INFO","D0934EBAB7EB1DCE1A02A4932D5ECE5E0DBE39A5D27799E2157F7F4229BAD71D","",""
"cert","egapro.travail.gouv.fr/20.74.14.77","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFMzCCBBugAwIBAgISA3CijElX6lgTgwbYGM9a6KBDMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzAzMDMxMTQ3NDRaFw0yMzA2MDExMTQ3NDNaMCExHzAdBgNVBAMTFmVnYXByby50cmF2YWlsLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDTeAxieKuPI/CJ/3jqlaFR2FkT7domGkZoy9qJFojcpz/yskei2ts7CVEeYlTpiIqSvlz7dGiOvIxA2Oz2UEilYRVbfJeEfnOO7Pva5N42F4Iw+Ia4Pzq1uvvEilBC75Mu/fwH293yxmBLk4drxJ7aYwF5yKBgVP0agRlaKk2I8hN53AKlL603976F5K8ZSjQ+BIS+udpc0P+0xVZyrzMH3x6d7AqiYbdQDJPQFCAmqbwBz/nbSdFTLjZF3yPJvw0ka66Um+6Ii1msw3YvQMDjciquWGEl+K155UhLNm2auK4XBrTiD8dqAWQJ4YsQAalrYs/wpDopmECuDhJgjnYPAgMBAAGjggJSMIICTjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFBKt0Nu4aaOVSHg0dIdXARuFtcdtMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMCEGA1UdEQQaMBiCFmVnYXByby50cmF2YWlsLmdvdXYuZnIwTAYDVR0gBEUwQzAIBgZngQwBAgEwNwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5jcnlwdC5vcmcwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdgC3Pvsk35xNunXyOcW6WPRsXfxCz3qfNcSeHQmBJe20mQAAAYang5cHAAAEAwBHMEUCIDCnPSOM4y9mlH7Y9rDTfbpzX/cUycRsHOm6FxgSIDwzAiEAs2rFTyhveWaJbbHad4vIdOfFTYD+JIaXP/o2nCsqlBUAdwCt9776fP8QyIudPZwePhhqtGcpXc+xDCTKhYY069yCigAAAYang5c2AAAEAwBIMEYCIQDTWAvqvBhVliuAD99bMwdeUR/lwdg+hi1TeaVsB5a2JgIhAPHe9LDDvWkRvckU9shAcu+G1jvSrWKFUzgivV2oOlZmMA0GCSqGSIb3DQEBCwUAA4IBAQCXboGfaFO/TZ/jreqGT7WBmBAdSsqNBjELUVzKJTEvvVT3Rie4s5JrTjsSwGkVseBzyu95gtmWb4Pc9y7GNd7W1veZfHRdKaOFYqzVdvV5h9aXiGjAkJut9H8qPO6i814TtQA67Mdl685eBq2u20Yn+Kv218FrniKDQnggctK+4SsrVnKmPaqflGiwGsFBlo9ulvBcIW3EP4Ktqo66MjabT/XdGeE3y6OOQmEM2YywJexBk6y9QMjMv9cxih9nFrU/CJ9gfFMPRRkjllg0HcLNGUhKldo+ju/nPuo7x+m5g8fYZ340eBqazd88C95aIf/X278VuJ9tys0wkwP8Lqi2\n-----END CERTIFICATE-----","",""
"cert_commonName","egapro.travail.gouv.fr/20.74.14.77","443","OK","egapro.travail.gouv.fr","",""
"cert_commonName_wo_SNI","egapro.travail.gouv.fr/20.74.14.77","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","egapro.travail.gouv.fr/20.74.14.77","443","INFO","egapro.travail.gouv.fr","",""
"cert_trust","egapro.travail.gouv.fr/20.74.14.77","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","egapro.travail.gouv.fr/20.74.14.77","443","OK","passed.","",""
"cert_certificatePolicies_EV","egapro.travail.gouv.fr/20.74.14.77","443","INFO","no","",""
"cert_expirationStatus","egapro.travail.gouv.fr/20.74.14.77","443","OK","32 >= 30 days","",""
"cert_notBefore","egapro.travail.gouv.fr/20.74.14.77","443","INFO","2023-03-03 11:47","",""
"cert_notAfter","egapro.travail.gouv.fr/20.74.14.77","443","OK","2023-06-01 11:47","",""
"cert_extlifeSpan","egapro.travail.gouv.fr/20.74.14.77","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","egapro.travail.gouv.fr/20.74.14.77","443","INFO","not present","",""
"cert_crlDistributionPoints","egapro.travail.gouv.fr/20.74.14.77","443","INFO","--","",""
"cert_ocspURL","egapro.travail.gouv.fr/20.74.14.77","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","egapro.travail.gouv.fr/20.74.14.77","443","LOW","not offered","",""
"cert_mustStapleExtension","egapro.travail.gouv.fr/20.74.14.77","443","INFO","--","",""
"DNS_CAArecord","egapro.travail.gouv.fr/20.74.14.77","443","LOW","--","",""
"certificate_transparency","egapro.travail.gouv.fr/20.74.14.77","443","OK","yes (certificate extension)","",""
"certs_countServer","egapro.travail.gouv.fr/20.74.14.77","443","INFO","3","",""
"certs_list_ordering_problem","egapro.travail.gouv.fr/20.74.14.77","443","INFO","no","",""
"cert_caIssuers","egapro.travail.gouv.fr/20.74.14.77","443","INFO","R3 (Let's Encrypt from US)","",""
