"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monpsy.sante.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","monpsy.sante.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","monpsy.sante.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","monpsy.sante.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","monpsy.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monpsy.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monpsy.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monpsy.sante.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","monpsy.sante.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipherorder_TLSv1_2","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","monpsy.sante.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","monpsy.sante.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","monpsy.sante.gouv.fr/20.74.14.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"FS","monpsy.sante.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","monpsy.sante.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","random","",""
"cert_compression","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","N/A","",""
"clientAuth","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","monpsy.sante.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","03623853B288EB7CBD39BDF2F1F2B0E87CC8","",""
"cert_serialNumberLen","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","18","",""
"cert_fingerprintSHA1","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","15E7776F6EE2810314F771A721ED0DC3B8A72C88","",""
"cert_fingerprintSHA256","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","DDE5E33BE179CCEAAE05730C37F9C08C10949CBAD69E217B5D70EFFF2E43342B","",""
"cert","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","-----BEGIN CERTIFICATE----- MIIFLTCCBBWgAwIBAgISA2I4U7KI63y9Ob3y8fKw6HzIMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjAyMTgxOTE4MzJaFw0yMjA1MTkxOTE4MzFaMB8xHTAbBgNVBAMT FG1vbnBzeS5zYW50ZS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIB CgKCAQEAwk04+ygu5FmG8cay888jFC79FlsIpSLy8mz2N2BR24I4z44Qki5HVe6S sDQ8X9dwvxFCXD7vxSPdPf97u2XrF7fKlMKjp3LeSBeDg5MReAB7DdkbQV6/TNON XvTmpR8h7RWiPmXsPaQxl3ObM1AOOL7HwNYJAi4SLSfWIAFjjh41nj3Zk0/k8vBT mSc+AsCgC/WzFM4d2VoR7QDqajwPfLnv0rpgxcsXnvesrZnXHUHRXXDWiZ3g90Y6 hNemW0UxrjmZ2ijjmAl/CrMyonnHJe7V1QY6R5zLHk3uQilQ2Dv/yjZj2giXBk/P RkwhZq5BmOrjmhd9l/ffDxhxdFC8HwIDAQABo4ICTjCCAkowDgYDVR0PAQH/BAQD AgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAA MB0GA1UdDgQWBBQoS/DxvhhFY3wDYlNAjGiiwAmp5TAfBgNVHSMEGDAWgBQULrMX t1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0 dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVu Y3Iub3JnLzAfBgNVHREEGDAWghRtb25wc3kuc2FudGUuZ291di5mcjBMBgNVHSAE RTBDMAgGBmeBDAECATA3BgsrBgEEAYLfEwEBATAoMCYGCCsGAQUFBwIBFhpodHRw Oi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB1 AEalVet1+pEgMLWiiWn0830RLEF0vv1JuIWr8vxw/m1HAAABfw58eCgAAAQDAEYw RAIgQQwwOgS3ot3NdPhHIBiGV3oBMqFsqdkE060NdbGhigYCIFimqEpeC1J4RsGw HtjdcdyuWIiF3MRFKdIkXr7y9rJpAHYAb1N2rDHwMRnYmQCkURX/dxUcEdkCwQAp Bo2yCJo32RMAAAF/Dnx47wAABAMARzBFAiAL7mlLkfyLfS0sYnd4wAsFQ73xnrpW C1+t57MyWEOcsQIhAMenptMPD13DNqWBFKEVP1pM9mY9v04ZCDU0Fk6U9cwuMA0G CSqGSIb3DQEBCwUAA4IBAQAT9be1irM0wJWtG9b5BmBy2PGj8+2tz6K6pMlkaA5q ajOWhaZLex8dZzirrKEvUuIq4ULp/nWgtM6WNvD61Vt6mdUe9bzN+zFhoEXtB7jx QZuOsMQRpX3V/l+m4H1v+t9E41qnrTnXlS7Ls+5PxAogGZKAnOHgmgSGdS2Bpkm3 7Iht/fctzClU/5soSNixe8PAgvuMQz0Oqe5h/yaHht+jSGTJ3RctE8tfbGPVTmV7 ASmKVKWGniOF26T5By1r2sNjGPJ/JZJXXOwda+TC1JdAjlx1suNsODLRsqWdG7dg CtrSeY5FQlwiKc3eC1bEluYbHNAd5UEWSmtE0Fiupawb -----END CERTIFICATE-----","",""
"cert_commonName","monpsy.sante.gouv.fr/20.74.14.77","443","OK","monpsy.sante.gouv.fr","",""
"cert_commonName_wo_SNI","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","monpsy.sante.gouv.fr","",""
"cert_trust","monpsy.sante.gouv.fr/20.74.14.77","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","monpsy.sante.gouv.fr/20.74.14.77","443","OK","passed.","",""
"cert_certificatePolicies_EV","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","no","",""
"cert_expirationStatus","monpsy.sante.gouv.fr/20.74.14.77","443","OK","39 >= 30 days","",""
"cert_notBefore","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","2022-02-18 19:18","",""
"cert_notAfter","monpsy.sante.gouv.fr/20.74.14.77","443","OK","2022-05-19 19:18","",""
"cert_extlifeSpan","monpsy.sante.gouv.fr/20.74.14.77","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","not present","",""
"cert_crlDistributionPoints","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","--","",""
"cert_ocspURL","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","monpsy.sante.gouv.fr/20.74.14.77","443","LOW","not offered","",""
"cert_mustStapleExtension","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","--","",""
"DNS_CAArecord","monpsy.sante.gouv.fr/20.74.14.77","443","LOW","--","",""
"certificate_transparency","monpsy.sante.gouv.fr/20.74.14.77","443","OK","yes (certificate extension)","",""
"certs_countServer","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","3","",""
"certs_list_ordering_problem","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","no","",""
"cert_caIssuers","monpsy.sante.gouv.fr/20.74.14.77","443","INFO","R3 (Let's Encrypt from US)","",""
