"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","HTTP","",""
"pre_128cipher","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"SSLv3","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"TLS1","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_1","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_2","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"TLS1_3","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","h2","",""
"ALPN","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","http/1.1","",""
"cipherlist_NULL","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"cipherlist_STRONG","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"cipher_order","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","server","",""
"protocol_negotiated","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"FS_ciphers","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","yes","",""
"sessionresumption_ticket","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","supported","",""
"sessionresumption_ID","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not supported","",""
"TLS_timestamp","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","random","",""
"clientAuth","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","none","",""
"cert_numbers","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","1","",""
"cert_signatureAlgorithm","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","SHA256 with RSA","",""
"cert_keySize","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","03C8AB18017FADCF684EEFEE888D93F7281A","",""
"cert_fingerprintSHA1","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","9CCAE4BE4E30F64FCB446858764C766A9FDD1415","",""
"cert_fingerprintSHA256","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","8AE37811BA5DE3E48BC055E35658E51E3923C38D47DAFC14281BDC301FAB4C7F","",""
"cert","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","-----BEGIN CERTIFICATE----- MIIFPzCCBCegAwIBAgISA8irGAF/rc9oTu/uiI2T9ygaMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTA0MTEwOTExMzNaFw0yMTA3MTAwOTExMzNaMCcxJTAjBgNVBAMT HG9udnMuZmFicmlxdWUuc29jaWFsLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUA A4IBDwAwggEKAoIBAQC1nkeEyRDkzA5FOzRxYNhxtWINa6qWTAAN7SwLb/Z/y2Jo s0xNp+ZJZd6GgePI8HXlw2pSb3nAhBiHgH1dSCENWBMW/p5JWJbDIQxULGNBD+qT hP07sfVgAiE+/hLU4WywYC1kU5HDVSQ82URG0baVQVoz0RCSlyQio6weSw/ejF/u 0Nm9tCIbGGiUiTv9YPPpOpWK+fQM0cTtAkn5NrRTx+nZu2CTDGwwkP4izuAf8ev3 ltCm421ImNQyc6d0QWdHZrezwjGG+mI4q5iwdRaffWoEZKL36tA4VZ6hQbSuV288 fJ73eqrv3OARJI+MHLI/2B8fYUEdGnL8RtxjIZlhAgMBAAGjggJYMIICVDAOBgNV HQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1Ud EwEB/wQCMAAwHQYDVR0OBBYEFLwsOkFHvRd/pQqTjnCrqZTH8/SuMB8GA1UdIwQY MBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEF BQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8v cjMuaS5sZW5jci5vcmcvMCcGA1UdEQQgMB6CHG9udnMuZmFicmlxdWUuc29jaWFs LmdvdXYuZnIwTAYDVR0gBEUwQzAIBgZngQwBAgEwNwYLKwYBBAGC3xMBAQEwKDAm BggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5jcnlwdC5vcmcwggEFBgorBgEE AdZ5AgQCBIH2BIHzAPEAdwBElGUusO7Or8RAB9io/ijA2uaCvtjLMbU/0zOWtbaB qAAAAXjAakdKAAAEAwBIMEYCIQD7WsMZnn66QD7xNawTdVnIlN4Q6aiYq0fV2Wjv nzwS5gIhAIVPbbSNXF1DEAPLqHbRJ3VX5YMVSWgBjFBFqqZbLNuKAHYA9lyUL9F3 MCIUVBgIMJRWjuNNExkzv98MLyALzE7xZOMAAAF4wGpHhQAABAMARzBFAiEAqmhn hzc0Z7nDJ430jU3wYEcTYQjUUYr6IcZjbHzsl6wCIES1u+sOeSG8hBl1D76ciEI8 WPEuLOnDOfi9BpVKuervMA0GCSqGSIb3DQEBCwUAA4IBAQC01bwMyeW9NDfck+cb z+uL5ty6iNmop2YHQ7SKCZ0YXtCnClFBcJaLCVZxbLaXCTmuHgxs5ptNFxI2a+0m HvU7fSbBKE3zSqSrhQ/7GXA0NxEm78TWZxKGS7AKFJrWtAe6SHaFMm4I+In133xN +U20yMSXyJnZeafnSgnIrIehCoD+LjHoSvchZGW5E2wHV1fk2izgWBNGG0szqN9j mcIRhZddrqp7AgE3lrQm1FIKM7Odli6+aDN/+RQdjzcbeeL2UAtWkbMF52n4Ns24 cxRJlxPpM0dQg6aLToMuSDkDUtSeTNm2h4Lbh54Ba4OM7dNRWk0XD+h7cfxX+0BK iJIJ -----END CERTIFICATE-----","",""
"cert_commonName","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","onvs.fabrique.social.gouv.fr","",""
"cert_commonName_wo_SNI","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","onvs.fabrique.social.gouv.fr","",""
"cert_trust","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","passed.","",""
"cert_certificatePolicies_EV","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","no","",""
"cert_expirationStatus","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","59 >= 30 days","",""
"cert_notBefore","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","2021-04-11 09:11","",""
"cert_notAfter","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","2021-07-10 09:11","",""
"cert_extlifeSpan","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not present","",""
"cert_crlDistributionPoints","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","--","",""
"cert_ocspURL","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","onvs.fabrique.social.gouv.fr/51.11.227.220","443","LOW","not offered","",""
"cert_mustStapleExtension","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","--","",""
"DNS_CAArecord","onvs.fabrique.social.gouv.fr/51.11.227.220","443","LOW","--","",""
"certificate_transparency","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","yes (certificate extension)","",""
"certs_countServer","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","2","",""
"certs_list_ordering_problem","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","no","",""
"cert_caIssuers","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","-----BEGIN CERTIFICATE----- MIIEZTCCA02gAwIBAgIQQAF1BIMUpMghjISpDBbN3zANBgkqhkiG9w0BAQsFADA/ MSQwIgYDVQQKExtEaWdpdGFsIFNpZ25hdHVyZSBUcnVzdCBDby4xFzAVBgNVBAMT DkRTVCBSb290IENBIFgzMB4XDTIwMTAwNzE5MjE0MFoXDTIxMDkyOTE5MjE0MFow MjELMAkGA1UEBhMCVVMxFjAUBgNVBAoTDUxldCdzIEVuY3J5cHQxCzAJBgNVBAMT AlIzMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuwIVKMz2oJTTDxLs jVWSw/iC8ZmmekKIp10mqrUrucVMsa+Oa/l1yKPXD0eUFFU1V4yeqKI5GfWCPEKp Tm71O8Mu243AsFzzWTjn7c9p8FoLG77AlCQlh/o3cbMT5xys4Zvv2+Q7RVJFlqnB U840yFLuta7tj95gcOKlVKu2bQ6XpUA0ayvTvGbrZjR8+muLj1cpmfgwF126cm/7 gcWt0oZYPRfH5wm78Sv3htzB2nFd1EbjzK0lwYi8YGd1ZrPxGPeiXOZT/zqItkel /xMY6pgJdz+dU/nPAeX1pnAXFK9jpP+Zs5Od3FOnBv5IhR2haa4ldbsTzFID9e1R oYvbFQIDAQABo4IBaDCCAWQwEgYDVR0TAQH/BAgwBgEB/wIBADAOBgNVHQ8BAf8E BAMCAYYwSwYIKwYBBQUHAQEEPzA9MDsGCCsGAQUFBzAChi9odHRwOi8vYXBwcy5p ZGVudHJ1c3QuY29tL3Jvb3RzL2RzdHJvb3RjYXgzLnA3YzAfBgNVHSMEGDAWgBTE p7Gkeyxx+tvhS5B1/8QVYIWJEDBUBgNVHSAETTBLMAgGBmeBDAECATA/BgsrBgEE AYLfEwEBATAwMC4GCCsGAQUFBwIBFiJodHRwOi8vY3BzLnJvb3QteDEubGV0c2Vu Y3J5cHQub3JnMDwGA1UdHwQ1MDMwMaAvoC2GK2h0dHA6Ly9jcmwuaWRlbnRydXN0 LmNvbS9EU1RST09UQ0FYM0NSTC5jcmwwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYf r52LFMLGMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjANBgkqhkiG9w0B AQsFAAOCAQEA2UzgyfWEiDcx27sT4rP8i2tiEmxYt0l+PAK3qB8oYevO4C5z70kH ejWEHx2taPDY/laBL21/WKZuNTYQHHPD5b1tXgHXbnL7KqC401dk5VvCadTQsvd8 S8MXjohyc9z9/G2948kLjmE6Flh9dDYrVYA9x2O+hEPGOaEOa1eePynBgPayvUfL qjBstzLhWVQLGAkXXmNs+5ZnPBxzDJOLxhF2JIbeQAcH5H0tZrUlo5ZYyOqA7s9p O5b85o3AM/OJ+CktFBQtfvBhcJVd9wvlwPsk+uyOy2HI7mNxKKgsBTt375teA2Tw UdHkhVNcsAKX1H7GNNLOEADksd86wuoXvg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","730C1BDCD85F57CE5DC0BBA733E5F1BA5A925B2A771D640A26F7A454224DAD3B","",""
"intermediate_cert_notBefore <#1>","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","2020-10-07 19:21","",""
"intermediate_cert_notAfter <#1>","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","2021-09-29 19:21","",""
"intermediate_cert_expiration <#1>","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","R3 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","0 seconds from localtime","",""
"HSTS_time","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","182 days (=15724800 seconds) > 15552000 seconds","",""
"HSTS_subdomains","onvs.fabrique.social.gouv.fr/51.11.227.220","443","OK","includes subdomains","",""
"HSTS_preload","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","domain is NOT marked for preloading","",""
"HPKP","onvs.fabrique.social.gouv.fr/51.11.227.220","443","INFO","No support for HTTP Public Key Pinning","",""
