"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","supported","",""
"sessionresumption_ID","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"clientAuth","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","043C4A34BB5EB7F68E90FC5D9EDE72FC09A8","",""
"cert_fingerprintSHA1","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","CCAB7BBB76895FBBCABEC68DA7DC98B095D86CB8","",""
"cert_fingerprintSHA256","ozensemble.fabrique.social.gouv.fr/20.74.14.77","443","INFO","743C509FB72C586BBD5EFA1BF409B780E71F998E1526B06CFB942E52E1B1D2E0","",""
