"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ozensemble.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","ozensemble.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ozensemble.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","ozensemble.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","ozensemble.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","ozensemble.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","ozensemble.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","ozensemble.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","ozensemble.fr/57.128.91.43","443","OK","h2","",""
"ALPN","ozensemble.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","ozensemble.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ozensemble.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ozensemble.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ozensemble.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ozensemble.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ozensemble.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ozensemble.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ozensemble.fr/57.128.91.43","443","OK","offered","",""
"cipher_order-tls1_2","ozensemble.fr/57.128.91.43","443","OK","server","",""
"cipherorder_TLSv1_2","ozensemble.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","ozensemble.fr/57.128.91.43","443","OK","server","",""
"FS","ozensemble.fr/57.128.91.43","443","OK","offered","",""
"FS_ciphers","ozensemble.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ozensemble.fr/57.128.91.43","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ozensemble.fr/57.128.91.43","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","ozensemble.fr/57.128.91.43","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ozensemble.fr/57.128.91.43","443","INFO","yes","",""
"sessionresumption_ticket","ozensemble.fr/57.128.91.43","443","INFO","not supported","",""
"sessionresumption_ID","ozensemble.fr/57.128.91.43","443","INFO","supported","",""
"TLS_timestamp","ozensemble.fr/57.128.91.43","443","INFO","random","",""
"certificate_compression","ozensemble.fr/57.128.91.43","443","INFO","none","",""
"clientAuth","ozensemble.fr/57.128.91.43","443","INFO","none","",""
"cert_numbers","ozensemble.fr/57.128.91.43","443","INFO","1","",""
"cert_signatureAlgorithm","ozensemble.fr/57.128.91.43","443","OK","SHA256 with RSA","",""
"cert_keySize","ozensemble.fr/57.128.91.43","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ozensemble.fr/57.128.91.43","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ozensemble.fr/57.128.91.43","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ozensemble.fr/57.128.91.43","443","INFO","0300C56E33C8D411299705098AED2A8ABDE5","",""
"cert_serialNumberLen","ozensemble.fr/57.128.91.43","443","INFO","18","",""
"cert_fingerprintSHA1","ozensemble.fr/57.128.91.43","443","INFO","D31061707AB315F7A65D3E0C27BD414FF9C4E174","",""
"cert_fingerprintSHA256","ozensemble.fr/57.128.91.43","443","INFO","7E4AAAF504363F3A00315F6EF305F085078750F7899E3F730981BF230BFA49BB","",""
