"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"sessionresumption_ID","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not supported","",""
"TLS_timestamp","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"cert_compression","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","N/A","",""
"clientAuth","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","04DC2A77966D7AA40EA68D38256582BBA90F","",""
"cert_serialNumberLen","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","18","",""
"cert_fingerprintSHA1","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","7051F5F0D887DF04580767613D9A23944D504FD9","",""
"cert_fingerprintSHA256","ressourcerie.fabrique.social.gouv.fr/20.74.14.77","443","INFO","47B330BAB99B01C42D573C4466552E30F717769B9397CD20755C8FC8B532476F","",""
