"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","HTTP","",""
"pre_128cipher","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"SSLv3","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","",""
"TLS1","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_1","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"TLS1_2","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"TLS1_3","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","h2","",""
"ALPN","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","http/1.1","",""
"cipherlist_NULL","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","not offered","",""
"cipherlist_STRONG","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"cipher_order","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","server","",""
"protocol_negotiated","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","offered","",""
"FS_ciphers","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","yes","",""
"sessionresumption_ticket","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","supported","",""
"sessionresumption_ID","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","supported","",""
"TLS_timestamp","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","random","",""
"clientAuth","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","none","",""
"cert_numbers","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","1","",""
"cert_signatureAlgorithm","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","OK","SHA256 with RSA","",""
"cert_keySize","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","04A2559BFF9F8DCFF402C34CE0494D020C0A","",""
"cert_fingerprintSHA1","sample-next-app.fabrique.social.gouv.fr/20.74.14.77","443","INFO","AEEC7236A3D2A676E7E99A0160ACCB6D03C8333D","",""
